reviewId,Username,userImage,Review,Rating,Usefulness,reviewCreatedVersion,Date,Reply,Reply Date,
1989f6c1-db78-4b70-85f8-b6eac8cdc782,Muyideen Olufemi,https://play-lh.googleusercontent.com/a-/ALV-UjWCg0ezL9063ifhjrAmW1gABhVcsceCGYmlcudvm1Re_MBD9NYb,Good and it works perfectly,5,0,6.3.3,2024-10-03 18:57:00,,,6.3.3
dd22d7ba-f9c7-4b6a-bc32-cf977c8265ec,A. Heru Dwi Nurcahyanto,https://play-lh.googleusercontent.com/a-/ALV-UjX8rHuq2DuvyKYL_ByaRnLzlGlAfJPU0pCXyvHg-Je3ZNDT60-y,Great app for print with bluetooth thermal printer,5,0,6.3.1,2024-10-02 9:21:19,,,6.3.1
68ebc5dc-a210-437c-a92d-b583fcb9e364,priyank Saravagi,https://play-lh.googleusercontent.com/a-/ALV-UjV8I9jXZOrbTcxe_cHAyNTLbzTkR3dFAF7Fz2Zsx_pf1Y2ZKvkx,GREAT,5,0,6.3.1,2024-09-29 19:11:17,,,6.3.1
7940ac3b-8dd8-4c69-9bd7-71207302a33a,GLADYS OTABIOKHAE,https://play-lh.googleusercontent.com/a/ACg8ocKB75uJjqgbDZ0KcQnFLTgtuv1AQpS3X7iPtS-kR7-qosAIWg=mo,"Nice though 🫠, gboza,gboza,gboza,gboza😂😘😘",4,0,6.3.1,2024-09-28 1:17:57,,,6.3.1
9b94bf83-3845-4446-be31-e905c1765ca2,Umesh Paikra,https://play-lh.googleusercontent.com/a-/ALV-UjVjmZpc9yWyjFdMdqoXl7-AMsnuwDOQCdpid9glIZ27kpEckLI6,Nice,5,0,6.3.1,2024-09-27 7:37:46,,,6.3.1
7fe1bc73-30c6-49cd-a642-e67586c26813,Jihan Destrian,https://play-lh.googleusercontent.com/a-/ALV-UjWkxqWC4O3SjK8Un45a8JRuqYKjB04J1-em7RSiebewdo1kBkAP,Very good aplication,5,0,6.3.1,2024-09-27 5:57:00,,,6.3.1
4c887dc6-aa37-427e-8da4-d3c00afa5e4c,Skmadarvali Aleem,https://play-lh.googleusercontent.com/a-/ALV-UjVon7cbLulSq3sc8X_K_3_vMfJ25j27fb1QAv1L2JHT1jxct59M,Best app for business use,5,0,6.3.1,2024-09-27 2:09:57,,,6.3.1
7a2180b7-8daf-4769-8c08-9bfe90eddfa2,H Keskin,https://play-lh.googleusercontent.com/a-/ALV-UjXDC9GvjP6IkoDndK8xSElDsJHQR8c6TotntCYxk7MY5RBuXeID,Very good,5,0,6.3.1,2024-09-24 5:53:07,,,6.3.1
84666830-d0b6-4ef2-9692-3e1f2fab6eae,Nitika Verma,https://play-lh.googleusercontent.com/a-/ALV-UjWwIkjNbpwguaPcqxcoboTMIHuHaaIZnvYkTd3LJDPh6RUllJHK,It good,5,0,6.3.1,2024-09-23 12:59:37,,,6.3.1
a1789d04-ceab-41f6-ac6b-47289638df3f,Maynul Islam,https://play-lh.googleusercontent.com/a/ACg8ocLnJcjyR9MWWnmGKomPCCo65wAUiotxxjWGBNw_SeuTBpQXSg=mo,Very good apps,5,0,6.3.1,2024-09-23 9:46:36,,,6.3.1
8a074f06-cd8a-4e02-a511-664e5d70f4f6,donthula naveenkumar,https://play-lh.googleusercontent.com/a-/ALV-UjX1szfB6pgJvgZzJSvYhe-eFYhSy80YH_X8ej8oo_9Uoh10XacQ-w,Superrr,5,0,6.3.1,2024-09-22 13:03:07,,,6.3.1
fae5450f-5cbc-42d2-94c9-a5645ddc6fec,Shallu Ateeq,https://play-lh.googleusercontent.com/a/ACg8ocLslxdkmQLxxK21yEppR_nt9TA3DM_2w_8LO4h4BblVIpC2QA=mo,Excellent,5,0,,2024-09-22 11:31:22,,,
1849ec2d-8cab-4a8a-94ac-e602231262e5,Steven Benz,https://play-lh.googleusercontent.com/a/ACg8ocJDoWaK3cnRJF3WIZNiJQaDn_Pi7nok1qMQXjk5QmTgpYVlCw=mo,Best App,5,0,6.2.4,2024-09-21 10:37:45,,,6.2.4
1e6d62e7-803a-4df9-8686-7a50d68ebf7c,Suresh Kumar Thakur Thakur,https://play-lh.googleusercontent.com/a-/ALV-UjUnuyeVBljOqnkylC4YMCTqBinAv7hGp9u7OAnfoYz7fkSwc4K6,Good 👍,5,0,6.3.1,2024-09-19 17:21:04,,,6.3.1
7c86a460-6777-4759-8259-17a62d378b87,Do Dac Toan,https://play-lh.googleusercontent.com/a-/ALV-UjXMYbHRUCNCQGGxrR61_zggGrwu_HY-4OWfapKl4rL2kw3HCN0s0A,Good app,5,0,6.3.1,2024-09-19 10:31:25,,,6.3.1
7fd6b303-56c2-44d1-901e-2e575a3e8392,Tammy U.,https://play-lh.googleusercontent.com/a-/ALV-UjUyZ4W5BJWkYyLIVAJyyKIE3Pwfmf6YF22tFKEBmnCkZxhDKBc,"No instructions anywhere, difficult to use.",1,0,6.1.0,2024-09-17 23:37:39,,,6.1.0
7a2764b8-b722-4259-aca8-f8b7186c5440,jiolif automation,https://play-lh.googleusercontent.com/a/ACg8ocKYcIKUWLfDkkQLtF-caBarSv7brZbE4NxehZIwM7WC9fafXg=mo,good,5,0,6.3.1,2024-09-17 14:23:02,,,6.3.1
f4248a2b-08fc-4301-9c56-a69d6bec1042,Prashant Mangale,https://play-lh.googleusercontent.com/a-/ALV-UjW2BtXwaiW9i1O4m7MJ1PRLLZ2j9R6ca4Q3dHGvtI291lEZrhA,"Hello, I cheked few things and at one feature your app is not adding the enteries and do the same steps again then app doesn't work. The keyboard won't close at all. I have recording for the same. I'm also an Android/Flutter developer and found this issue. I have Redmi11S device with Android 13 installed. Please check if you received any error under the Play store or Crashlytics if firebase configured. If you need to check video please share your email.",2,2,6.3.1,2024-09-17 1:53:04,Please share video by replying to the email,2024-09-18 17:46:07,6.3.1
6fd97886-b1ba-41cd-abb3-741889a689a7,Gemma Camacho,https://play-lh.googleusercontent.com/a-/ALV-UjUW7hx6VcbMyS4yUMEpOjDwMTP3U4T48_wvrwPWeUO9DKKwi9GBVg,Easy and reliable as is,5,0,,2024-09-16 18:59:24,,,
f61ef06d-685c-44f0-b60b-07f50ad34ea8,Sanjay Kumar,https://play-lh.googleusercontent.com/a/ACg8ocJ1bF90ybI2UxzstAPWF2PnAU4TmYpDfIh2P8bLnDpnWjf0Qw=mo,Verry good,5,0,6.3.1,2024-09-16 17:28:41,,,6.3.1
50b281d8-cd82-42e3-8d4a-ff135b3f5432,Daniel Yarbrough (Killcount75),https://play-lh.googleusercontent.com/a-/ALV-UjWBlSrBRhgHsb6H3STVMlzKB0ttDONOhUq6mjDy_bsqXu3GMOg4,I would not connect to my thermal printer kept saying the code was wrong 😠,1,0,6.3.1,2024-09-16 6:56:15,,,6.3.1
1f511212-afaf-432d-88b9-e52c2e881fa0,BABA,https://play-lh.googleusercontent.com/a/ACg8ocJ_vPl_BnvZuW7WCT1CvoBuaxyI7kvaKe5-qhqmOJpFIKZXrA=mo,Good apps and features great,5,0,6.3.1,2024-09-13 16:36:56,,,6.3.1
435316a2-4369-420c-9569-1a9406eac109,Pti Imran,https://play-lh.googleusercontent.com/a/ACg8ocJ2OJGknYABrSaWRR-R1_HQ3g2tOT9O3JuGxR85JyJTzTAEbA=mo,good 👍,5,0,6.4.7.3,2025-04-18 12:57:42,,,6.4.7.3
258d33b7-07be-48e8-b79d-3612fafbb53b,Mohd shukri Mustafa,https://play-lh.googleusercontent.com/a-/ALV-UjVEAzWBbXc38vLJfGmvZ-8meGnnoFst9y5WovW0frR5viUH_UQ,good....now i very happy tq..love..,5,0,6.4.7.1,2025-04-17 13:09:32,,,6.4.7.1
992057e4-9b91-484f-9e74-9f66451bd690,MATA RANI Readymade Store,https://play-lh.googleusercontent.com/a-/ALV-UjWWVdn_VWY7VmvngGjHneXDTBc_N0XE6JSyF8vFdZ3R5pXU-zIz,good,5,0,6.4.3,2025-04-17 8:07:58,,,6.4.3
b8a8bd25-bb9b-4e5a-9cb4-6af85e4e644f,jaya kumar,https://play-lh.googleusercontent.com/a-/ALV-UjVsyICUDSwPhHT4yoaw8I_s38qkil1hAcyP0pTNPrExG6-IUamt,good,4,0,6.4.3,2025-04-16 23:57:36,,,6.4.3
cf715414-4eb3-416f-9245-6c9080eab66e,Mauritius Titiyan,https://play-lh.googleusercontent.com/a-/ALV-UjXNOiPJgXA98uwyaOxuTI8-LEM_NZeD6nw8aYumcojC6QSYhIMpsw,always helpful,5,0,6.4.2,2025-04-16 8:06:18,,,6.4.2
90226dc2-bbdb-49de-ab50-2fd180efc642,Endra Dwi Cahyono,https://play-lh.googleusercontent.com/a-/ALV-UjW6Zd7kP3jnHlgnFzLWxZFOffb6SYK0E7EF5ivL0u1ld_1E1a0,"i can't open this app today, and i don't even know how yo fixed it",1,0,6.4.3,2025-04-16 7:49:26,Sorry for the inconvenience. I have updated app again which resolves the bugs,2025-04-16 10:05:38,6.4.3
f0ba178e-afd1-44d8-877b-45dad5d74446,Andy Kenzo,https://play-lh.googleusercontent.com/a-/ALV-UjUYGDClhTRw9NOjFAjUf6DpWduLZb9HyBx4j2FIwiUz_03wPWeL7w,can't open. BUGS !!!!!,1,0,6.4.3,2025-04-16 6:21:43,Sorry for the inconvenience. I have updated app again which resolves the bugs,2025-04-16 10:04:14,6.4.3
9d7647b5-65e9-4f76-8156-bd7611702d30,Haidar Nashir,https://play-lh.googleusercontent.com/a-/ALV-UjU4J-RbEr7HDbO_V1KsTMym5APAYK1TTLw7LxUY9HG90huwOmo,nice fine working,5,0,6.4.2,2025-04-16 5:51:29,,,6.4.2
7d14f6c5-f290-4b34-8b3c-7721b99cc9df,Dionisius I. Prasetianto,https://play-lh.googleusercontent.com/a-/ALV-UjVCc-HogPbUk4pUXmpJVED8VHurXhmv75j-Lqh_5u6bUjaaJgQbQA,Can't open on my Infinix Note50 Pro. FYI : My subscribtion still active till 3 April 2026,3,0,6.4.3,2025-04-16 4:58:24,Sorry for the inconvenience. I have updated app again which resolves the bugs,2025-04-16 10:03:22,6.4.3
8dcfc5bd-0b37-449b-adbb-deefc81c79e4,888 water treatment &supply services,https://play-lh.googleusercontent.com/a/ACg8ocLHf7-mkmMflrTs8NF3YfR4VgkWYuqDXTm_o7TJw5-ot_Zu9A=mo,"very useful application,5 stars",5,0,6.4.2,2025-04-15 18:48:17,,,6.4.2
8dc92ba7-6355-49da-9882-4f4bc8329187,SAINUL ABID NV,https://play-lh.googleusercontent.com/a-/ALV-UjV_EAIBGUDYSobERG6kvoi_R7VMWGbWCxAuoyFcyqynTNq_xg-G,update all gone,1,0,6.2.6,2025-04-15 18:30:32,Sorry for the inconvenience. I have updated app again which resolves the bugs,2025-04-15 18:33:14,6.2.6
2422ec1f-bbcf-4f81-a9c1-f81c0fc9482e,YASIR KHAN,https://play-lh.googleusercontent.com/a-/ALV-UjUSZiXjUcMKl18YQmn5FeCqyu6-z_C1-tWxHNKRIGeO80LhLDgF,i cannot use it,1,1,,2025-04-15 10:11:10,Sorry for the inconvenience. I have updated app again which resolves the bugs,2025-04-16 10:09:17,
